RandomFrest,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC
$K_0$,0.88202247191,0.714285714286,11,1,5,4,0.680555555556
$K_1$,0.887640449438,0.666666666667,9,3,4,5,0.652777777778
$K_2$,0.88202247191,0.857142857143,10,2,1,8,0.861111111111
$K_3$,0.888268156425,0.8,8,3,1,8,0.808080808081
$K_4$,0.888268156425,0.7,9,2,4,5,0.686868686869
$K_5$,0.905027932961,0.9,10,1,1,8,0.89898989899
$K_6$,0.877777777778,0.842105263158,11,0,3,5,0.8125
$K_7$,0.888888888889,0.578947368421,5,6,2,6,0.602272727273
$K_8$,0.883333333333,0.736842105263,8,3,2,6,0.738636363636
$K_9$,0.877777777778,0.842105263158,9,2,1,7,0.846590909091
