RandomFrest,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC,Recall,Precision
$K_0$,0.8652,0.5714,9,3,6,3,0.5417,0.3333,0.5000
$K_1$,0.9101,0.8095,8,4,0,9,0.8333,1.0000,0.6923
$K_2$,0.8933,0.7143,10,2,4,5,0.6944,0.5556,0.7143
$K_3$,0.8994,0.7500,9,2,3,6,0.7424,0.6667,0.7500
$K_4$,0.8827,1.0000,11,0,0,9,1.0000,1.0000,1.0000
$K_5$,0.8436,0.7000,8,3,3,6,0.6970,0.6667,0.6667
$K_6$,0.8722,0.7368,8,3,2,6,0.7386,0.7500,0.6667
$K_7$,0.8722,0.7368,7,4,1,7,0.7557,0.8750,0.6364
$K_8$,0.8833,0.7895,9,2,2,6,0.7841,0.7500,0.7500
$K_9$,0.8778,0.8421,10,1,2,6,0.8295,0.7500,0.8571
