SVM,Train Accuracy,Test Accuracy,TN,FP,FN,TP,AUC,Recall,Precision
$K_0$,0.8539,0.619,8,4,4,5,0.6111,0.5556,0.5556
$K_1$,0.8652,0.9048,11,1,1,8,0.9028,0.8889,0.8889
$K_2$,0.8764,0.6667,6,6,1,8,0.6944,0.8889,0.5714
$K_3$,0.8771,0.85,11,0,3,6,0.8333,0.6667,1
$K_4$,0.8603,0.7,7,4,2,7,0.7071,0.7778,0.6364
$K_5$,0.8547,0.65,7,4,3,6,0.6515,0.6667,0.6
$K_6$,0.8889,0.7368,10,1,4,4,0.7045,0.5,0.8
$K_7$,0.8389,0.9474,10,1,0,8,0.9545,1,0.8889
$K_8$,0.85,0.7368,9,2,3,5,0.7216,0.625,0.7143
$K_9$,0.8667,0.7368,9,2,3,5,0.7216,0.625,0.7143
